school,url
DeVry University–Long Beach,http://www.lb.devry.edu/
DeVry University–Orlando,http://www.orl.devry.edu/
DeVry University–Phoenix,http://www.phx.devry.edu/
DeVry University–Pomona,http://www.pom.devry.edu/
Dickinson College,http://www.dickinson.edu/
Dickinson State University,http://www.dickinsonstate.edu/
Dillard University,http://www.dillard.edu/
Divine Word College,http://www.dwci.edu/
Dixie State University,http://www.dixie.edu/
Doane College,http://www.doane.edu/
Dominican College,http://www.dc.edu/
Dominican House of Studies,http://www.dhs.edu/
Dominican School of Philosophy & Theology,http://www.dspt.edu/
Dominican University,http://www.dom.edu/
Dominican University of California,http://www.dominican.edu/
Donnelly College,http://www.donnelly.edu/
Dordt College,http://www.dordt.edu/
Dowling College,http://www.dowling.edu/
Drake University,http://www.drake.edu/
Drew University,http://www.drew.edu/
Drexel University,http://www.drexel.edu/
Drury University,http://www.drury.edu/
Duke University,http://duke.edu/
Dunwoody College of Technology,http://www.dunwoody.edu/
Duquesne University,http://www.duq.edu/
D´Youville College,http://www.dyc.edu/
Earlham College,http://www.earlham.edu/
East Carolina University,http://www.ecu.edu/
East Central University,http://www.ecok.edu/
East Stroudsburg State University of Pennsylvania,http://www.esu.edu/
East Tennessee State University,http://www.etsu.edu/
East Texas Baptist University,http://www.etbu.edu/
East-West University,http://www.eastwest.edu/
Eastern Connecticut State University,http://www.easternct.edu/
Eastern Florida State College,http://www.easternflorida.edu/
Eastern Illinois University,http://www.eiu.edu/
Eastern Kentucky University,http://www.eku.edu/
Eastern Mennonite University,http://www.emu.edu/
Eastern Michigan University,http://www.emich.edu/
Eastern Nazarene College,http://www.enc.edu/
Eastern New Mexico University,http://www.enmu.edu/
Eastern Oregon University,https://www.eou.edu/
Eastern University,http://www.eastern.edu/
Eastern Virginia Medical School,http://www.evms.edu/
Eastern Washington University,http://www.ewu.edu/
Eckerd College,http://www.eckerd.edu/
ECPI University,http://www.ecpi.edu/
Eden Theological Seminary,http://www.eden.edu/
Edgewood College,http://www.edgewood.edu/
